ID,Title,Body,Child_age,Growth_type,Standard_deviation,Related_articles,Mandatory_content,Moderation_state,Translation_language
23021,περισσότερα σχετικά με την ανάπτυξη τους πρώτους 6 μήνες –παχυσαρκία,"Υπάρχει καθόλου ή ελάχιστο ρίσκο για ένα μωρό απο 0 εως 6 μηνών, που αποκλειστικά θηλάζει, να γίνει παχύσαρκο. Έχει αποδειχθεί και επιβεβαιωθεί επιστημονικά ότι ο θηλασμός, ειδικά ο παρατεταμένος – τουλάχιστον για 12 μήνες, προστατεύει ένα παιδί απο μελλοντική παχυσαρκία στην παιδική κι ενήλικη ζωή του. Για τα μωρά που λαμβάνουν τεχνητή τροφή πάντα υπάρχει ο κίνδυνος να γίνουν υπέρβαρα. Για μωρά, υπέρβαρα ή παχύσαρκα, η συμβουλή του παιδιάτρου μπορεί να βοηθήσει. Ποτέ μην παρεμποδίζετε το φαγητό από ένα μωρό σε μία προσπάθεια να χάσει βάρος. Για να αναπτυχθούν και μεγαλώσουν όπως πρέπει, τα μωρά έχουν ανάγκη από σωστή διατροφή και αποκλειστικό θηλασμό τους πρώτους έξι μηνες της ζωης τους. Όσον αφορά τα μωρά που τρέφονται με φόρμουλα, σιγουρευτείτε ότι ακουλουθείτε τις οδηγίες για να ετοιμάσετε σωστά την τροφή (σωστή ποσότητα νερού και σκόνης) καθώς και τις οδηγίες για τον αριθμό τροφής που πρέπει να δίνετε γενικά και ημερησίως. ","1st month, 2nd month, 3-4 months, 5-6 months",Height for weight,above +3SD,"3401, 3341, 3346, 3376",1,published,
23022,περισσότερα σχετικά με την ανάπτυξη από 7 εώς 9 μηνών –παχυσαρκία,"Προσοχή! Το παιδί σας είναι παχύσαρκο, το οποίο σημαίνει ότι έχει σοβαρά υπερβολικό βάρος για το ύψος του. Αυτό το βάρος μπορεί να θέσει σε σοβαρό κίνδυνο την υγεία του παιδιού σας. Σκεφτείτε τι συνέβαλε σε αυτο: υπερβολική πρόσληψη τροφής υψήλης σε ενέργεια (όπως γλυκά και λιπαρά προιόντα) πρόσληψη πρόχειρου φαγητού, μειιωμένη σωματική άσκηση, αυξημένη ώρα μπροστά από την οθόνη ή αλλαγές στο περιβάλλον κλπ. Κλείστε ένα ραντεβού με τον παιδίατρο για εξέταση και επιπλέον διάγνωση καθώς και για να καθορίσετε τις δυναμικές παρακολούθησης της ανάπτυξης του παιδιού σας.",7-9 months,Height for weight,above +3SD,"3406, 3351, 3346, 3376",1,published,
23023,περισσότερα σχετικά με την ανάπτυξη από 12 εώς 12 μηνών –παχυσαρκία,"Προσοχή! Το παιδί σας είναι παχύσαρκο, το οποίο σημαίνει ότι έχει σοβαρά υπερβολικό βάρος για το ύψος του. Αυτό το βάρος μπορεί να θέσει σε σοβαρό κίνδυνο την υγεία του παιδιού σας. Σκεφτείτε τι συνέβαλε σε αυτο: υπερβολική πρόσληψη τροφής υψήλης σε ενέργεια (όπως γλυκά και λιπαρά προιόντα) πρόσληψη πρόχειρου φαγητού, μειιωμένη σωματική άσκηση, αυξημένη ώρα μπροστά από την οθόνη ή αλλαγές στο περιβάλλον κλπ. Κλείστε ένα ραντεβού με τον παιδίατρο για εξέταση και επιπλέον διάγνωση καθώς και για να καθορίσετε τις δυναμικές παρακολούθησης της ανάπτυξης του παιδιού σας.",10-12 months,Height for weight,above +3SD,"3411, 3356, 3346, 3376",1,published,
23024,περισσότερα σχετικά με την ανάπτυξη από 13 εώς 24 μηνών –παχυσαρκία,"Προσοχή! Το παιδί σας είναι παχύσαρκο, το οποίο σημαίνει ότι έχει σοβαρά υπερβολικό βάρος για το ύψος του. Αυτό το βάρος μπορεί να θέσει σε σοβαρό κίνδυνο την υγεία του παιδιού σας. Σκεφτείτε τι συνέβαλε σε αυτο: υπερβολική πρόσληψη τροφής υψήλης σε ενέργεια (όπως γλυκά και λιπαρά προιόντα) πρόσληψη πρόχειρου φαγητού, μειιωμένη σωματική άσκηση, αυξημένη ώρα μπροστά από την οθόνη ή αλλαγές στο περιβάλλον κλπ. Κλείστε ένα ραντεβού με τον παιδίατρο για εξέταση και επιπλέον διάγνωση καθώς και για να καθορίσετε τις δυναμικές παρακολούθησης της ανάπτυξης του παιδιού σας.","13-18 months, 19-24 months",Height for weight,above +3SD,"3391, 3386, 3361, 3381",1,published,
23025,περισσότερα σχετικά με την ανάπτυξη από 25 εώς 60 μηνών –παχυσαρκία,"Προσοχή! Το παιδί σας είναι παχύσαρκο, το οποίο σημαίνει ότι έχει σοβαρά υπερβολικό βάρος για το ύψος του. Αυτό το βάρος μπορεί να θέσει σε σοβαρό κίνδυνο την υγεία του παιδιού σας. Σκεφτείτε τι συνέβαλε σε αυτο: υπερβολική πρόσληψη τροφής υψήλης σε ενέργεια (όπως γλυκά και λιπαρά προιόντα) πρόσληψη πρόχειρου φαγητού, μειιωμένη σωματική άσκηση, αυξημένη ώρα μπροστά από την οθόνη ή αλλαγές στο περιβάλλον κλπ. Κλείστε ένα ραντεβού με τον παιδίατρο για εξέταση και επιπλέον διάγνωση καθώς και για να καθορίσετε τις δυναμικές παρακολούθησης της ανάπτυξης του παιδιού σας.","25-36 months, 37-48 months, 49-60 months, 61-72 months",Height for weight,above +3SD,"3396, 5891, 3366, 3381",1,published,
23026,περισσότερα σχετικά με την ανάπτυξη τους πρώτους 6 μήνες –τυπική ανάπτυξη για την ηλικία,"Μπράβο! Το ύψος/μήκος του παιδιού σας είναι σύμφωνο ή ελαφρώς παραπάνω από το αναμενόμενο εύρος για την ηλικία και γένος του. Συνεχίστε να ακολουθείτε τις συστάσεις για  καλύτερη διατροφή, σωματική άσκηση και ύπνο. Συνεχίστε να παρακολουθείτε την ανάπτυξη του παιδιού σας.","1st month, 2nd month, 3-4 months, 5-6 months",Height for age,between -2SD to + 3SD,"3401, 3341, 3346",1,published,
23027,περισσότερα σχετικά με την ανάπτυξη από 7 εώς 9 μηνών –τυπική ανάπτυξη για την ηλικία,"Μπράβο! Το ύψος/μήκος του παιδιού σας είναι σύμφωνο ή ελαφρώς παραπάνω από το αναμενόμενο εύρος για την ηλικία και γένος του. Συνεχίστε να ακολουθείτε τις συστάσεις για  καλύτερη διατροφή, σωματική άσκηση και ύπνο. Συνεχίστε να παρακολουθείτε την ανάπτυξη του παιδιού σας..",7-9 months,Height for age,between -2SD to + 3SD,"3406, 3351, 3346",1,published,
23028,περισσότερα σχετικά με την ανάπτυξη από 10 εώς 12 μηνών –τυπική ανάπτυξη για την ηλικία,"Μπράβο! Το ύψος/μήκος του παιδιού σας είναι σύμφωνο ή ελαφρώς παραπάνω από το αναμενόμενο εύρος για την ηλικία και γένος του. Συνεχίστε να ακολουθείτε τις συστάσεις για  καλύτερη διατροφή, σωματική άσκηση και ύπνο. Συνεχίστε να παρακολουθείτε την ανάπτυξη του παιδιού σας.",10-12 months,Height for age,between -2SD to + 3SD,"3411, 3356, 3346",1,published,
23029,περισσότερα σχετικά με την ανάπτυξη από 13 εώς 24 μηνών –τυπική ανάπτυξη για την ηλικία,"Μπράβο! Το ύψος/μήκος του παιδιού σας είναι σύμφωνο ή ελαφρώς παραπάνω από το αναμενόμενο εύρος για την ηλικία και γένος του. Συνεχίστε να ακολουθείτε τις συστάσεις για  καλύτερη διατροφή, σωματική άσκηση και ύπνο. Συνεχίστε να παρακολουθείτε την ανάπτυξη του παιδιού σας.","13-18 months, 19-24 months",Height for age,between -2SD to + 3SD,"3391, 3386, 3361",1,published,
23030,περισσότερα σχετικά με την ανάπτυξη από 25 εώς 72 μηνών –τυπική ανάπτυξη για την ηλικία,"Μπράβο! Το ύψος/μήκος του παιδιού σας είναι σύμφωνο ή ελαφρώς παραπάνω από το αναμενόμενο εύρος για την ηλικία και γένος του. Συνεχίστε να ακολουθείτε τις συστάσεις για  καλύτερη διατροφή, σωματική άσκηση και ύπνο. Συνεχίστε να παρακολουθείτε την ανάπτυξη του παιδιού σας.","25-36 months, 37-48 months, 49-60 months, 61-72 months",Height for age,between -2SD to + 3SD,"3396, 5891, 3366 ",1,published,
23031,περισσότερα σχετικά με την ανάπτυξη τους πρώτους 6 μήνες –μέτρια καθυστέρηση ανάπτυξης,"Προσοχή! Η ανάπτυξη του παιδιού σας σε μήκος/ύψος είναι αργή και παρουσιάζει μέτρια καθυστέρηση. Σκεφτείτε εάν μακροχρόνιες πιθανές αιτίες έχουν συμβάλει σε αυτό: χρόνιος υποσιτισμός, χρόνιες ασθένειες, ενδοκρινικές διαταραχές κλπ. Κλείστε ραντεβού με τον παιδίατρο για παραπάνω εξετάσεις ώστε να λάβετε επιπλέον συστάσεις και να καθορίσετε τις δυναμικές για περαιτέρω παρακολούθηση της ανάπτυξης του παιδιού σας. ","1st month, 2nd month, 3-4 months, 5-6 months",Height for age,below -2SD,"3401, 3341, 3346, 3606",1,published,
23032,περισσότερα σχετικά με την ανάπτυξη από 7 εώς 9 μηνών – μέτρια καθυστέρηση ανάπτυξης,"Προσοχή! Η ανάπτυξη του παιδιού σας σε μήκος/ύψος είναι αργή και παρουσιάζει μέτρια καθυστέρηση. Σκεφτείτε εάν μακροχρόνιες πιθανές αιτίες έχουν συμβάλει σε αυτό: χρόνιος υποσιτισμός, χρόνιες ασθένειες, ενδοκρινικές διαταραχές κλπ. Κλείστε ραντεβού με τον παιδίατρο για παραπάνω εξετάσεις ώστε να λάβετε επιπλέον συστάσεις και να καθορίσετε τις δυναμικές για περαιτέρω παρακολούθηση της ανάπτυξης του παιδιού σας. ",7-9 months,Height for age,below -2SD,"3406, 3351, 3346, 3606",1,published,
23033,περισσότερα σχετικά με την ανάπτυξη από 10 εώς 12 μηνών – μέτρια καθυστέρηση ανάπτυξης,"Προσοχή! Η ανάπτυξη του παιδιού σας σε μήκος/ύψος είναι αργή και παρουσιάζει μέτρια καθυστέρηση. Σκεφτείτε εάν μακροχρόνιες πιθανές αιτίες έχουν συμβάλει σε αυτό: χρόνιος υποσιτισμός, χρόνιες ασθένειες, ενδοκρινικές διαταραχές κλπ. Κλείστε ραντεβού με τον παιδίατρο για παραπάνω εξετάσεις ώστε να λάβετε επιπλέον συστάσεις και να καθορίσετε τις δυναμικές για περαιτέρω παρακολούθηση της ανάπτυξης του παιδιού σας. ",10-12 months,Height for age,below -2SD,"3411, 3356, 3346",1,published,
23034,περισσότερα σχετικά με την ανάπτυξη από 13 εώς 24 μηνών – μέτρια καθυστέρηση ανάπτυξης,"Προσοχή! Η ανάπτυξη του παιδιού σας σε μήκος/ύψος είναι αργή και παρουσιάζει μέτρια καθυστέρηση. Σκεφτείτε εάν μακροχρόνιες πιθανές αιτίες έχουν συμβάλει σε αυτό: χρόνιος υποσιτισμός, χρόνιες ασθένειες, ενδοκρινικές διαταραχές κλπ. Κλείστε ραντεβού με τον παιδίατρο για παραπάνω εξετάσεις ώστε να λάβετε επιπλέον συστάσεις και να καθορίσετε τις δυναμικές για περαιτέρω παρακολούθηση της ανάπτυξης του παιδιού σας. ","13-18 months, 19-24 months",Height for age,below -2SD,"3391, 3386, 3361, 3606",1,published,
23035,περισσότερα σχετικά με την ανάπτυξη από 25 εώς 60 μηνών – μέτρια καθυστέρηση ανάπτυξης,"Προσοχή! Η ανάπτυξη του παιδιού σας σε μήκος/ύψος είναι αργή και παρουσιάζει μέτρια καθυστέρηση. Σκεφτείτε εάν μακροχρόνιες πιθανές αιτίες έχουν συμβάλει σε αυτό: χρόνιος υποσιτισμός, χρόνιες ασθένειες, ενδοκρινικές διαταραχές κλπ. Κλείστε ραντεβού με τον παιδίατρο για παραπάνω εξετάσεις ώστε να λάβετε επιπλέον συστάσεις και να καθορίσετε τις δυναμικές για περαιτέρω παρακολούθηση της ανάπτυξης του παιδιού σας. ","25-36 months, 37-48 months, 49-60 months, 61-72 months",Height for age,below -2SD,"3396, 5891, 3366, 3606",1,published,
23036,περισσότερα σχετικά με την ανάπτυξη τους πρώτους 6 μήνες –σοβαρή καθυστέρηση ανάπτυξης,"Επείγον! Η ανάπτυξη του παιδιού σας καθυστερεί σοβαρά. Κλείστε ραντεβού με τον παιδίατρο για επιπλέον εξετάσεις, αποκτήστε την κατάλληλη θεραπεία και καθορίστε τις δυναμικές για καλύτερη παρακολούθηση της ανάπτυξης του παιδιού!","1st month, 2nd month, 3-4 months, 5-6 months",Height for age,below -3SD,"3401, 3341, 3346",1,published,
23037,περισσότερα σχετικά με την ανάπτυξη από 7 εώς 9 μηνών – σοβαρή καθυστέρηση ανάπτυξης,"Επείγον! Η ανάπτυξη του παιδιού σας καθυστερεί σοβαρά. Κλείστε ραντεβού με τον παιδίατρο για επιπλέον εξετάσεις, αποκτήστε την κατάλληλη θεραπεία και καθορίστε τις δυναμικές για καλύτερη παρακολούθηση της ανάπτυξης του παιδιού!",7-9 months,Height for age,below -3SD,"3406, 3351, 3346, 3606",1,published,
23038,περισσότερα σχετικά με την ανάπτυξη από 10 εώς 12 μηνών – σοβαρή καθυστέρηση ανάπτυξης,"Επείγον! Η ανάπτυξη του παιδιού σας καθυστερεί σοβαρά. Κλείστε ραντεβού με τον παιδίατρο για επιπλέον εξετάσεις, αποκτήστε την κατάλληλη θεραπεία και καθορίστε τις δυναμικές για καλύτερη παρακολούθηση της ανάπτυξης του παιδιού!",10-12 months,Height for age,below -3SD,"3411, 3356, 3346, 3606",1,published,
23039,περισσότερα σχετικά με την ανάπτυξη από 13 εώς 24 μηνών – σοβαρή καθυστέρηση ανάπτυξης,"Επείγον! Η ανάπτυξη του παιδιού σας καθυστερεί σοβαρά. Κλείστε ραντεβού με τον παιδίατρο για επιπλέον εξετάσεις, αποκτήστε την κατάλληλη θεραπεία και καθορίστε τις δυναμικές για καλύτερη παρακολούθηση της ανάπτυξης του παιδιού!","13-18 months, 19-24 months",Height for age,below -3SD,"3391, 3386, 3361, 3606",1,published,
23040,περισσότερα σχετικά με την ανάπτυξη από 25 εώς 60 μηνών – σοβαρή καθυστέρηση ανάπτυξης,"Επείγον! Η ανάπτυξη του παιδιού σας καθυστερεί σοβαρά. Κλείστε ραντεβού με τον παιδίατρο για επιπλέον εξετάσεις, αποκτήστε την κατάλληλη θεραπεία και καθορίστε τις δυναμικές για καλύτερη παρακολούθηση της ανάπτυξης του παιδιού!","25-36 months, 37-48 months, 49-60 months, 61-72 months",Height for age,below -3SD,"3396, 5891, 3366, 3606",1,published,
23041,περισσότερα σχετικά με την ανάπτυξη τους πρώτους 6 μήνες- πάνω από το μέσο όρο  (Μ.Ο.) μήκους/ύψους για την ηλίκια,Το παιδί σας μεγαλώνει έχοντας ύψος παραπάνω απο το φυσιολογικό για την ηλικία και γένος του. Είναι πιθανόν να είναι το αποτέλεσμα του γενετικού του δυναμικού παρ’όλα αυτά πρέπει να το συζητήσετε με τον παιδίατρο. Aκολουθήστε τις εγκριθείσες συστάσεις και παρακολουθήστε την ανάπτυξη του παιδιού σας σε τακτά χρονικά διαστήματα,"1st month, 2nd month, 3-4 months, 5-6 months",Height for age,above + 3SD,"3401, 3341, 3346",1,published,
23042,περισσότερα σχετικά με την ανάπτυξη από 7 εώς 9 μηνών- πάνω από το μέσο όρο  (Μ.Ο.) μήκους/ύψους για την ηλίκια,Το παιδί σας μεγαλώνει έχοντας ύψος παραπάνω απο το φυσιολογικό για την ηλικία και γένος του. Είναι πιθανόν να είναι το αποτέλεσμα του γενετικού του δυναμικού παρ’όλα αυτά πρέπει να το συζητήσετε με τον παιδίατρο. Aκολουθήστε τις εγκριθείσες συστάσεις και παρακολουθήστε την ανάπτυξη του παιδιού σας σε τακτά χρονικά διαστήματα,7-9 months,Height for age,above + 3SD,"3406, 3351, 3346",1,published,
23043,περισσότερα σχετικά με την ανάπτυξη από 10 εώς 12 μηνών- πάνω από το μέσο όρο  (Μ.Ο.) μήκους/ύψους για την ηλίκια,Το παιδί σας μεγαλώνει έχοντας ύψος παραπάνω απο το φυσιολογικό για την ηλικία και γένος του. Είναι πιθανόν να είναι το αποτέλεσμα του γενετικού του δυναμικού παρ’όλα αυτά πρέπει να το συζητήσετε με τον παιδίατρο. Aκολουθήστε τις εγκριθείσες συστάσεις και παρακολουθήστε την ανάπτυξη του παιδιού σας σε τακτά χρονικά διαστήματα,10-12 months,Height for age,above + 3SD,"3411, 3356, 3346",1,published,
23044,περισσότερα σχετικά με την ανάπτυξη από 13 εώς 24 μηνών- πάνω από το μέσο όρο  (Μ.Ο.) μήκους/ύψους για την ηλίκια,Το παιδί σας μεγαλώνει έχοντας ύψος παραπάνω απο το φυσιολογικό για την ηλικία και γένος του. Είναι πιθανόν να είναι το αποτέλεσμα του γενετικού του δυναμικού παρ’όλα αυτά πρέπει να το συζητήσετε με τον παιδίατρο. Aκολουθήστε τις εγκριθείσες συστάσεις και παρακολουθήστε την ανάπτυξη του παιδιού σας σε τακτά χρονικά διαστήματα,"13-18 months, 19-24 months",Height for age,above + 3SD,"3391, 3386, 3361",1,published,
23045,περισσότερα σχετικά με την ανάπτυξη από 25 εώς 60 μηνών- πάνω από το μέσο όρο  (Μ.Ο.) μήκους/ύψους για την ηλίκια,Το παιδί σας μεγαλώνει έχοντας ύψος παραπάνω απο το φυσιολογικό για την ηλικία και γένος του. Είναι πιθανόν να είναι το αποτέλεσμα του γενετικού του δυναμικού παρ’όλα αυτά πρέπει να το συζητήσετε με τον παιδίατρο. Aκολουθήστε τις εγκριθείσες συστάσεις και παρακολουθήστε την ανάπτυξη του παιδιού σας σε τακτά χρονικά διαστήματα,"25-36 months, 37-48 months, 49-60 months, 61-72 months",Height for age,above + 3SD,"3396, 5891, 3366",1,published,