ID,Title,Body,Child_age,Growth_type,Standard_deviation,Related_articles,Mandatory_content,Moderation_state
23001,More about growth in the first 6 months - adequate weight for length/height,"Bravo! Your child grows well and her/ his weight is in harmonious with her/his height. Continue to follow the recommendations for optimal nutrition, physical activity and sleep. Keep track of your child's growth.","43,44,45,46",6461,32736,"3401, 3341, 3346, 3416",1,published
23002,More about growth 7-9 monts - adequate weight for length/height,"Bravo! Your child grows well and her/ his weight is in harmonious with her/his height. Continue to follow the recommendations for optimal nutrition, physical activity and sleep. Keep track of your child's growth.",47,6461,32736,"3406, 3351, 3346, 3416",1,published
23003,More about growth 10-12 monts - adequate weight for length/height,"Bravo! Your child grows well and her/ his weight is in harmonious with her/his height. Continue to follow the recommendations for optimal nutrition, physical activity and sleep. Keep track of your child's growth.",48,6461,32736,"3411, 3356, 3346, 3416",1,published
23004,More about growth 13-24 months - adequate weight for length/height,"Bravo! Your child grows well and her/ his weight is in harmonious with her/his height. Continue to follow the recommendations for optimal nutrition, physical activity and sleep. Keep track of your child's growth.","50,49",6461,32736,"3391, 3386, 3361, 3416",1,published
23005,More about growth 25- 60 months - adequate weight for length/height,"Bravo! Your child grows well and her/ his weight is in harmonious with her/his height. Continue to follow the recommendations for optimal nutrition, physical activity and sleep. Keep track of your child's growth.","58,57,52,51",6461,32736,"3396, 5891, 3366, 3416",1,published
23006,More about growth in the first 6 months - mild malnutrition,"Attention! Your child is losing weight (or not gaining weight) and has a moderate lack of weight for length / height.  This situation could have happened in a course of few weeks, hence consider to find out some immediate causes: recent infectious disease or diahorea, some other chronic illness, insufficient and a very improper diet, changes in the immediate environment, etc. Be sure to schedule an examination with a pediatrician to discover the cause, correct the loss and determine the dynamics of further monitoring of growth. You child needs major consideration to have an improved diet.","43,44,45,46",6461,32741,"3401, 3341, 3346, 3416",1,published
23007,More about growth 7-9 months- mild malnutrition,"Attention! Your child is losing weight (or not gaining weight) and has a moderate lack of weight for length / height.  This situation could have happened in a course of few weeks, hence consider to find out some immediate causes: recent infectious disease or diahorea, some other chronic illness, insufficient and a very improper diet, changes in the immediate environment, etc. Be sure to schedule an examination with a pediatrician to discover the cause, correct the loss and determine the dynamics of further monitoring of growth. You child needs major consideration to have an improved diet.",47,6461,32741,"3406, 3351, 3346, 3371",1,published
23008,More about growth 10-12 months- mild malnutrition,"Attention! Your child is losing weight (or not gaining weight) and has a moderate lack of weight for length / height.  This situation could have happened in a course of few weeks, hence consider to find out some immediate causes: recent infectious disease or diahorea, some other chronic illness, insufficient and a very improper diet, changes in the immediate environment, etc. Be sure to schedule an examination with a pediatrician to discover the cause, correct the loss and determine the dynamics of further monitoring of growth. You child needs major consideration to have an improved diet.",48,6461,32741,"3411, 3356, 3346, 3371",1,published
23009,More about growth 13-24 months- mild malnutrition,"Attention! Your child is losing weight (or not gaining weight) and has a moderate lack of weight for length / height.  This situation could have happened in a course of few weeks, hence consider to find out some immediate causes: recent infectious disease or diahorea, some other chronic illness, insufficient and a very improper diet, changes in the immediate environment, etc. Be sure to schedule an examination with a pediatrician to discover the cause, correct the loss and determine the dynamics of further monitoring of growth. You child needs major consideration to have an improved diet.","50,49",6461,32741,"3391, 3386, 3361, 3371",1,published
23010,More about growth 25- 60 months- mild malnutrition,"Attention! Your child is losing weight (or not gaining weight) and has a moderate lack of weight for length / height.  This situation could have happened in a course of few weeks, hence consider to find out some immediate causes: recent infectious disease or diahorea, some other chronic illness, insufficient and a very improper diet, changes in the immediate environment, etc. Be sure to schedule an examination with a pediatrician to discover the cause, correct the loss and determine the dynamics of further monitoring of growth. You child needs major consideration to have an improved diet.","58,57,52,51",6461,32741,"3396, 5891, 3366, 3371",1,published
23011,More about growth in the first 6 months - severe malnutrition,"Attention! Your child has a serious lack of weight for length / height. This situation could have happened in a course of few weeks, hence consider to find out some possible immediate causes, some causes could be: recent illness, metabolic and chronic diseases, insufficient and improper diet, changes in the immediate environment, etc. Urgently consult a pediatrician to investigate the cause and determine how to compensate for the loss.","43,44,45,46",6461,32771,"3401, 3341, 3346, 3371",1,published
23012,More about growth 7-9 months - severe malnutrition,"Attention! Your child has a serious lack of weight for length / height. This situation could have happened in a course of few weeks, hence consider to find out some possible immediate causes, some causes could be: recent illness, metabolic and chronic diseases, insufficient and improper diet, changes in the immediate environment, etc. Urgently consult a pediatrician to investigate the cause and determine how to compensate for the loss.",47,6461,32771,"3406, 3351, 3346, 3371",1,published
23013,More about growth 10-12 months - severe malnutrition,"Attention! Your child has a serious lack of weight for length / height. This situation could have happened in a course of few weeks, hence consider to find out some possible immediate causes, some causes could be: recent illness, metabolic and chronic diseases, insufficient and improper diet, changes in the immediate environment, etc. Urgently consult a pediatrician to investigate the cause and determine how to compensate for the loss.",48,6461,32771,"3411, 3356, 3346",1,published
23014,More about growth 13-24 months - severe malnutrition,"Attention! Your child has a serious lack of weight for length / height. This situation could have happened in a course of few weeks, hence consider to find out some possible immediate causes, some causes could be: recent illness, metabolic and chronic diseases, insufficient and improper diet, changes in the immediate environment, etc. Urgently consult a pediatrician to investigate the cause and determine how to compensate for the loss.","50,49",6461,32771,"3391, 3386, 3361, 3371",1,published
23015,More about growth  25- 60 months - severe malnutrition,"Attention! Your child has a serious lack of weight for length / height. This situation could have happened in a course of few weeks, hence consider to find out some possible immediate causes, some causes could be: recent illness, metabolic and chronic diseases, insufficient and improper diet, changes in the immediate environment, etc. Urgently consult a pediatrician to investigate the cause and determine how to compensate for the loss.","58,57,52,51",6461,32771,"3396, 5891, 3366, 3371",1,published
23016,More about growth first 6 months- overweight,"Attention! Your child is moderately overweight for height. This overweight can endanger his/her health, so think about what contributed to that: excess intake of energy-rich foods (such as sweet and oily products), intake of junk foods, reduced physical activity, increased screen time or changes in the immediate environment, etc. Be sure to make an appointment with a pediatrician to get additional recommendations and determine the dynamics of monitoring your child's growth.","43,44,45,46",6461,32751,"3401, 3341, 3346, 3376",1,published
23017,More about growth  7-9 months- overweight,"Attention! Your child is moderately overweight for height. This overweight can endanger his/her health, so think about what contributed to that: excess intake of energy-rich foods (such as sweet and oily products), intake of junk foods, reduced physical activity, increased screen time or changes in the immediate environment, etc. Be sure to make an appointment with a pediatrician to get additional recommendations and determine the dynamics of monitoring your child's growth.",47,6461,32751,"3406, 3351, 3346, 3376",1,published
23018,More about growth 10-12 months- overweight,"Attention! Your child is moderately overweight for height. This overweight can endanger his/her health, so think about what contributed to that: excess intake of energy-rich foods (such as sweet and oily products), intake of junk foods, reduced physical activity, increased screen time or changes in the immediate environment, etc. Be sure to make an appointment with a pediatrician to get additional recommendations and determine the dynamics of monitoring your child's growth.",48,6461,32751,"3411, 3356, 3346, 3376",1,published
23019,More about growth 13-24 months- overweight,"Attention! Your child is moderately overweight for height. This overweight can endanger his/her health, so think about what contributed to that: excess intake of energy-rich foods (such as sweet and oily products), intake of junk foods, reduced physical activity, increased screen time or changes in the immediate environment, etc. Be sure to make an appointment with a pediatrician to get additional recommendations and determine the dynamics of monitoring your child's growth.","50,49",6461,32751,"3391, 3386, 3361, 3381",1,published
23020,More about growth 25-60 months- overweight,"Attention! Your child is moderately overweight for height. This overweight can endanger his/her health, so think about what contributed to that: excess intake of energy-rich foods (such as sweet and oily products), intake of junk foods, reduced physical activity, increased screen time or changes in the immediate environment, etc. Be sure to make an appointment with a pediatrician to get additional recommendations and determine the dynamics of monitoring your child's growth.","58,57,52,51",6461,32751,"3396, 5891, 3366, 3381",1,published
23021,More about growth in the first 6 months- obesity,"There is no or minimal risk of being overweight for a baby of 0-6-month-old being exclusively breastfed.  It has been proven and scientifically confirmed that breastfeeding, especially prolonged - at least 12 months, protects a child from obesity later in childhood and adulthood. For babies on artificial nutrition, there is always a danger of overweight.  For overweight or obese babies, advice from the baby's doctor can be helpful. Never withhold food from a baby in an attempt to cause weight loss. To grow and develop as they should, babies need proper nutrition, exclusive breastfeeding during the first 6 months of life. For formula-fed babies, make sure you follow the instructions to prepare the feeds correctly (right amount of water and powder) and follow the instruction for the number of the feeds and the amount of feeds per day.","43,44,45,46",6461,32756,"3401, 3341, 3346, 3376",1,published
23022,More about growth 7-9 months- overweight,"Urgent attention! Your child is obese, that is, s/he has a serious excess weight for height. This weight can seriously endanger your child's health. Think about what contributed to that: excess intake of energy-rich foods (such as sweet and oily products), intake of junk foods, reduced physical activity, increased screen time or changes in the immediate environment, etc. Be sure to schedule a visit to the pediatrician for an examination and additional diagnostics, as well as to determine the dynamics of further growth monitoring!",47,6461,32756,"3406, 3351, 3346, 3376",1,published
23023,More about growth 10-12 months- overweight,"Urgent attention! Your child is obese, that is, s/he has a serious excess weight for height. This weight can seriously endanger your child's health. Think about what contributed to that: excess intake of energy-rich foods (such as sweet and oily products), intake of junk foods, reduced physical activity, increased screen time or changes in the immediate environment, etc. Be sure to schedule a visit to the pediatrician for an examination and additional diagnostics, as well as to determine the dynamics of further growth monitoring!",48,6461,32756,"3411, 3356, 3346, 3376",1,published
23024,More about growth 13-24 months- overweight,"Urgent attention! Your child is obese, that is, s/he has a serious excess weight for height. This weight can seriously endanger your child's health. Think about what contributed to that: excess intake of energy-rich foods (such as sweet and oily products), intake of junk foods, reduced physical activity, increased screen time or changes in the immediate environment, etc. Be sure to schedule a visit to the pediatrician for an examination and additional diagnostics, as well as to determine the dynamics of further growth monitoring!","50,49",6461,32756,"3391, 3386, 3361, 3381",1,published
23025,More about growth 25-60 months- overweight,"Urgent attention! Your child is obese, that is, s/he has a serious excess weight for height. This weight can seriously endanger your child's health. Think about what contributed to that: excess intake of energy-rich foods (such as sweet and oily products), intake of junk foods, reduced physical activity, increased screen time or changes in the immediate environment, etc. Be sure to schedule a visit to the pediatrician for an examination and additional diagnostics, as well as to determine the dynamics of further growth monitoring!","58,57,52,51",6461,32756,"3396, 5891, 3366, 3381",1,published
23026,More about growth in the first 6 months - typical growth for the age,"Bravo! Your child grows in length / height in line or slightly above the range expected for his age and gender. Continue to follow the recommendations of good practice in nutrition, physical activity and sleep and monitor your child's growth.","43,44,45,46",32786,32761,"3401, 3341, 3346",1,published
23027,More about growth 7-9 months - typical growth for the age,"Bravo! Your child grows in length / height in line or slightly above the range expected for his age and gender. Continue to follow the recommendations of good practice in nutrition, physical activity and sleep and monitor your child's growth.",47,32786,32761,"3406, 3351, 3346",1,published
23028,More about growth 10-12 months - typical growth for the age,"Bravo! Your child grows in length / height in line or slightly above the range expected for his age and gender. Continue to follow the recommendations of good practice in nutrition, physical activity and sleep and monitor your child's growth.",48,32786,32761,"3411, 3356, 3346",1,published
23029,More about growth 13-24 months - typical growth for the age,"Bravo! Your child grows in length / height in line or slightly above the range expected for his age and gender. Continue to follow the recommendations of good practice in nutrition, physical activity and sleep and monitor your child's growth.","50,49",32786,32761,"3391, 3386, 3361",1,published
23030,More about growth 25-72 months - typical growth for the age,"Bravo! Your child grows in length / height in line or slightly above the range expected for his age and gender. Continue to follow the recommendations of good practice in nutrition, physical activity and sleep and monitor your child's growth.","58,57,52,51",32786,32761,"3396, 5891, 3366 ",1,published
23031,More about growth in the first 6 months - moderate growth delay,"Attention! Your child’s growth in length / height is slow and is now moderately delayed. Consider whether any of the long term possible causes contributed to it: chronic malnutrition, chronic disease, endocrine disorder, etc. Be sure to schedule an appointment with a pediatrician for additional examination, obtaining additional recommendations and determining the dynamics of further monitoring of growth.","43,44,45,46",32786,32766,"3401, 3341, 3346, 3606",1,published
23032,More about growth 7-9 months - moderate growth delay,"Attention! Your child’s growth in length / height is slow and is now moderately delayed. Consider whether any of the long term possible causes contributed to it: chronic malnutrition, chronic disease, endocrine disorder, etc. Be sure to schedule an appointment with a pediatrician for additional examination, obtaining additional recommendations and determining the dynamics of further monitoring of growth.",47,32786,32766,"3406, 3351, 3346, 3606",1,published
23033,More about growth 10-12 months - moderate growth delay,"Attention! Your child’s growth in length / height is slow and is now moderately delayed. Consider whether any of the long term possible causes contributed to it: chronic malnutrition, chronic disease, endocrine disorder, etc. Be sure to schedule an appointment with a pediatrician for additional examination, obtaining additional recommendations and determining the dynamics of further monitoring of growth.",48,32786,32766,"3411, 3356, 3346",1,published
23034,More about growth 13-24 months - moderate growth delay,"Attention! Your child’s growth in length / height is slow and is now moderately delayed. Consider whether any of the long term possible causes contributed to it: chronic malnutrition, chronic disease, endocrine disorder, etc. Be sure to schedule an appointment with a pediatrician for additional examination, obtaining additional recommendations and determining the dynamics of further monitoring of growth.","50,49",32786,32766,"3391, 3386, 3361, 3606",1,published
23035,More about growth 25-60 months - moderate growth delay,"Attention! Your child’s growth in length / height is slow and is now moderately delayed. Consider whether any of the long term possible causes contributed to it: chronic malnutrition, chronic disease, endocrine disorder, etc. Be sure to schedule an appointment with a pediatrician for additional examination, obtaining additional recommendations and determining the dynamics of further monitoring of growth.","58,57,52,51",32786,32766,"3396, 5891, 3366, 3606",1,published
23036,More about growth in the first 6 months - severe growth delay,"Urgently! Your child’s growth in length / height is severely delayed. Make an urgent appointment with a pediatrician for additional examination, obtaining appropriate treatment and determining the dynamics of further growth monitoring!","43,44,45,46",32786,32771,"3401, 3341, 3346",1,published
23037,More about growth 7-9 months - severe growth delay,"Urgently! Your child’s growth in length / height is severely delayed. Make an urgent appointment with a pediatrician for additional examination, obtaining appropriate treatment and determining the dynamics of further growth monitoring!",47,32786,32771,"3406, 3351, 3346, 3606",1,published
23038,More about growth 10-12 months - severe growth delay,"Urgently! Your child’s growth in length / height is severely delayed. Make an urgent appointment with a pediatrician for additional examination, obtaining appropriate treatment and determining the dynamics of further growth monitoring!",48,32786,32771,"3411, 3356, 3346, 3606",1,published
23039,More about growth 13-24 months - severe growth delay,"Urgently! Your child’s growth in length / height is severely delayed. Make an urgent appointment with a pediatrician for additional examination, obtaining appropriate treatment and determining the dynamics of further growth monitoring!","50,49",32786,32771,"3391, 3386, 3361, 3606",1,published
23040,More about growth 25-60 months - severe growth delay,"Urgently! Your child’s growth in length / height is severely delayed. Make an urgent appointment with a pediatrician for additional examination, obtaining appropriate treatment and determining the dynamics of further growth monitoring!","58,57,52,51",32786,32771,"3396, 5891, 3366, 3606",1,published
23041,More about growth in the first 6 months- above average length/height for age,"Your child has grown to a height well above the normal range for his age and gender. It is probably the result of his genetic potential, but still talk about it with the pediatrician. Continue to follow the adopted recommendations and monitor your child's growth at regular intervals.","43,44,45,46",32786,32756,"3401, 3341, 3346",1,published
23042,More about growth 7-9 months- above average length/height for age,"Your child has grown to a height well above the normal range for his age and gender. It is probably the result of his genetic potential, but still talk about it with the pediatrician. Continue to follow the adopted recommendations and monitor your child's growth at regular intervals.",47,32786,32756,"3406, 3351, 3346",1,published
23043,More about growth 10- 12 months- above average length/height for age,"Your child has grown to a height well above the normal range for his age and gender. It is probably the result of his genetic potential, but still talk about it with the pediatrician. Continue to follow the adopted recommendations and monitor your child's growth at regular intervals.",48,32786,32756,"3411, 3356, 3346",1,published
23044,More about growth 13-24 months- above average length/height for age,"Your child has grown to a height well above the normal range for his age and gender. It is probably the result of his genetic potential, but still talk about it with the pediatrician. Continue to follow the adopted recommendations and monitor your child's growth at regular intervals.","50,49",32786,32756,"3391, 3386, 3361",1,published
23045,More about growth 25-60 months- above average length/height for age,"Your child has grown to a height well above the normal range for his age and gender. It is probably the result of his genetic potential, but still talk about it with the pediatrician. Continue to follow the adopted recommendations and monitor your child's growth at regular intervals.","58,57,52,51",32786,32756,"3396, 5891, 3366",1,published