ID,Title,Body,Child_age,Related_articles,Related_video_articles,Related_activities,Translation_language,Moderation_state
2526,Qetësohet kur e merrni në krah,"<p>Kur e merrni në krahë, ju e ndjeni se foshnja po përshtatet me përqafimin dhe struket në gjoksin tuaj.</p>",,6286,6286,,al-sq,published
2531,Ngazëllehet kur i flisni,"<p>Kur ai dëgjon zërin tuaj, foshnja tregon entuziazëm, por gjithashtu vini re se ai ngadalëson lëvizjet e tij, duket se po dëgjon, se është i pranishëm …</p>",,6311,6311,,al-sq,published
2536,Ju shikon ndërsa ju qeshni dhe flisni me të,"<p>Kur flisni me të, foshnja kërkon me sytë e saj fytyrën tuaj</p>",,6291,6291,,al-sq,review_after_translation
2541,Bën tinguj,"<p>Fëmija qan, por edhe prodhon tinguj</p>",,6296,6296,,al-sq,review_after_translation
2546,Hap dhe mbyll grushtin e tij kur e prekni butësisht,"<p>Kur prekni pëllëmbën e foshnjës ose vendosni diçka në të, ai do ta mbyllë grushtin fort. Nëse i jepni gishtin ai e mban atë fuqishëm.</p>",,6301,6301,,al-sq,review_after_translation
2551,Lëviz krahët dhe këmbët e saj lirshëm në të dy anët,"<p>Kur ajo është e lirë, ju mund të shihni lëvizje krejtësisht të rastësishme të duarve dhe këmbëve të fëmijës.</p>",,6306,6306,,al-sq,review_after_translation
2556,"Kur qëndron në stomak, ai ngre kokën","<p>Kur e vendosni në pozitën përmbys, fëmija do të provojë të ngre kokën për të liruar rrugët e frymëmarrjes.</p>",,6281,6281,,al-sq,review_after_translation
2561,"Bën tinguj të ndryshëm kur është i lumtur, i mërzitur apo i uritur","<p>E qara e fëmija ndryshon kur ai ka nevoja të caktuara, kështu që bazuar në tingujt që ai bën mund të njihet nëse ai është i lumtur, i mërzitur apo ka ndonjë nevojë tjetër.</p>",,6316,6316,,al-sq,review_after_translation
2566,Mund të vetë-qetësohet për pak kohë,<p>Fëmija qetëson veten duke thithur gishtin ose dorën e saj të vogël.</p>,,6361,6361,,al-sq,review_after_translation
2571,Kthen kokën e tij drejt burimit të zërit dhe tregon se është duke dëgjuar,"<p>Nëse dëgjon një zë njerëzor ose ndonjë tingull tjetër, fëmija kthen kokën në atë drejtim. Ndërsa dëgjon zërin, ai vështron prindërit ose personin që flet, duke ngadalësuar lëvizjet e tij.</p>",,6326,6326,,al-sq,review_after_translation
2576,"Gugatë, krijon tinguj",<p>Ajo artikulon zëra të ndryshëm.</p>,,6321,6321,,al-sq,review_after_translation
2581,Ndjek lëvizjen e gjërave dhe të personave me sy,"<p>Kur lodrat, objektet apo personat i shfaqen përpara, fëmija përpiqet të ndjek linjën e lëvizjes së tyre.</p>",,6336,6336,,al-sq,review_after_translation
2586,Shfaq mërzitje apo qan nëse aktiviteti ndryshon,"<p>Foshnja ankohet duke qarë nëse lihet në një pozicion për një kohë të gjatë, ose proteston nëse e lëshoni atë pasi e keni mbajtur në krahë.</p>",,,,,al-sq,review_after_translation
2591,"Në raste të caktuara mban grushtet e hapura, dhe manipulon me to.","<p>Pjesën më të madhe të kohës, foshnja ende i mban duart e shtrënguara në grushte, por ai herë pas here i hap ato dhe i mban të hapura për disa kohë. Ai shikon duart e tij duke lëvizur, dhe i mban ato në gojën e tij.</p>",,6356,6356,,al-sq,review_after_translation
2596,"Kthen kokën në njërën anë, më pas në anën tjetër",<p>Foshnja bën shumë lëvizje të ndryshme të qafës dhe kokës.</p>,,6351,6351,,al-sq,review_after_translation
2601,Bën lëvizje fine me krahët dhe këmbët e tij,"<p>Kur është i lirë, mund të shihni shumë lëvizje të zakonshme të krahëve dhe këmbëve të fëmijës.</p>",,6341,6341,,al-sq,published
2606,"Kur është përmbys, foshnja qëndron në tokë, me parakrahët e saj","<p>Kur vendoset në pozicionin përmbys, foshnja mund të ngrejë kokën duke u mbështetur në parakrahë, dhe duke u zvarritur në dysheme.</p>",,6346,6346,,al-sq,review_after_translation
2611,Qesh me fytyrën e njerëzve të tjerë,"<p>Shpeshherë, buzëqesh lehtësisht dhe në mënyrë spontane me njerëzit afër saj.</p>",,6401,6401,,al-sq,review_after_translation
2616,Vëzhgon me kujdes fytyrat e njerëzve,"<p>Vëzhgon me kujdes dhe hollësisht fytyrat e njerëzve, mban kontakt të gjatë me sy.</p>",,6386,6386,,al-sq,review_after_translation
2621,Tregon që është e zemëruar ose e lumtur,"<p>Ka reagime që lehtësisht mund të vihen re, të cilat tregojnë kënaqësi apo pakënaqësi.</p>",,6381,6381,,al-sq,review_after_translation
2626,Ndjek me sy një lodër që lëviz nga njëra anë në tjetrën,"<p>Kur objektet apo personat lëvizin përpara, ai ndjek ritmin e lëvizjes me sy.</p>",,6396,6396,,al-sq,review_after_translation
2631,Fillon të murmurisë,"<p>Vokalizon dhe prodhon tinguj që i ngjajnë zanoreve - a, e, i, o, u</p>",,6371,6371,,al-sq,review_after_translation
2636,Ngjitet dhe zbret shkallët,<p>Ngjitet në shkallë duke u mbështetur dhe duke përdorur në mënyrë alternative njërën këmbë dhe më pas tjetrën.</p>,,6811,6811,,al-sq,review_after_translation
2641,"Fillon të imitojë lëvizjet dhe shprehjet e fytyrës, si dhe tingujt gjatë lojës","<p>Kur i drejtoheni atij, foshnja juaj përpiqet të përsërisë lëvizjen ose shprehjen tuaj. Ai përgjigjet ndaj të folurit dhe fjalimit duke prodhuar tinguj.</p>",,"3626, 6376","3626, 6376",,al-sq,review_after_translation
2646,Zhvillon koordinimin dorë-sy,"<p>Rritet aftësia për koordinimin dorë-sy, për shembull: fëmija juaj shikon një objekt dhe përpiqet që ta arrijë atë.</p>",,6406,6406,,al-sq,review_after_translation
2651,"Kopjon rrathë me një laps, shkumës druri apo dylli","<p>Kopjon rrathë me një laps, shkumës druri apo dylli.</p>",,6826,6826,,al-sq,review_after_translation
2656,"Mban një lodër me njërën dorë, e eksploron, e tund dhe e godet atë","<p>Ajo arrin një objekt dhe e kap atë duke përdorur pjesën e jashtme të pëllëmbës, pa përdorur gishtin e madh. Ajo manipulon me objektin duke e tundur, duke e goditur ose duke e futur në gojë.</p>",,6391,6391,,al-sq,review_after_translation
2666,Vendos duart në gojë,<p>Shumë shpesh ai/ajo vendos duart e tij/saj në gojë. Ai/ajo gjithashtu eksploron objekte tjera duke i futur në gojë.</p>,,6366,6366,,al-sq,review_after_translation
2671,"Mban kokën drejtë, pa e mbështetur atë","<p>Kur është në një pozicion gjysmë të ulur, ajo mund ta mbajë kokën në ekuilibër dhe drejtë.</p>",,6841,6841,,al-sq,review_after_translation
2676,"Në pozicionin përmbys, mbështetet në mënyrë të qëndrueshme në parakrahë dhe shtyn trupin lart me bërryla","<p>Siç është duke qëndruar përmbys, ajo ngre supet dhe kokën duke u mbështetur me bërrylat e saj.</p>",,,,,al-sq,review_after_translation
2681,Zhvillon një lojë komplekse dhe përfshin të tjerët në të,<p>Pëlqen lojën 'sikur' dhe natyra e lojës është imagjinare me shumë elementë fantazie. Ndonjëherë nuk është e sigurt se çfarë është reale dhe çfarë është imagjinare.</p>,,6831,6831,,al-sq,review_after_translation
2686,Këndon pjesë të thjeshta të këngëve,<p>Këndon pjesë të thjeshta të këngëve</p>,,,,,al-sq,review_after_translation
2691,"Rrotullohet nga stomaku në shpinë dhe nga shpina në stomak, në të dy anët","<p>Ajo mund të rrotullohet dhe të kthehet në çdo drejtim (si nga ana e majtë dhe ajo e djathtë), si nga shpina në stomak dhe nga stomaku në shpinë.</p>",,6426,6426,,al-sq,review_after_translation
2696,Mund të ulet me pak mbështetje,"<p>Kur ai/ajo ka mbështetje ose mbështetet në diçka, foshnja mund të ulet dhe për një kohë të shkurtër mund të mbajë pozicionin ulur në mënyrë të pavarur.</p>",,,,,al-sq,review_after_translation
2701,Mund të thotë një fjali me 2 deri në 3 fjalë,<p>Mund të formulojë dhe të thotë fjali me 2 deri në 3 fjalë mjaft mirë sa anëtarët e familjes mund ta kuptojnë atë.</p>,,6816,6816,,al-sq,review_after_translation
2706,"Kur qëndron në këmbë, ajo mund ta mbajë peshën e saj për një kohë të shkurtër duke u mbështetur në këmbë","<p>Kur e mbani foshnjën tuaj në këmbë lart mbi dysheme, ajo mbështetet në dysheme ose duket sikur po kërcen.</p>",,,,,al-sq,review_after_translation
2711,"Mund të thotë emrin, moshën dhe gjininë e vet","<p>Mund të thotë emrin, moshën dhe gjininë e vet.</p>",,,,,al-sq,review_after_translation
2716,Eksploron gjërat duke i futur në gojë.,"<p>Ai vendos gjithçka që kap në gojën e tij, shpeshherë ai i fut edhe këmbët e tij në gojë.</p>",,6436,6436,,al-sq,review_after_translation
2721,"Merr gjëra që nuk arrihen me një dorë, dhe kur i kap ato, mund t'i lëvizë nga njëra dorë në tjetrën","<p>Ajo akoma i mban objektet me njërën dorë, por manipulon duke i transferuar nga njëra dorë në tjetrën dhe duke përdorur pjesën e brendshme të pëllëmbës, gishtin e madh dhe gishtin tregues, ndërsa gishtat e tjerë qëndrojnë të fiksuar.</p>",,6431,6431,,al-sq,review_after_translation
2726,Kupton fjalë komplekse,"<p>Kupton terma të tillë si: ""të ngjashëm"" dhe ""të ndryshëm"", ""i/e lehtë"" dhe ""i/e vështirë"", ""i/e mirë"" dhe ""i/e keq"", ""i/e vogël"" dhe ""i/e madh"".</p>",,6801,6801,,al-sq,review_after_translation
2731,"Përgjigjet ndaj tingullit të zërit duke krijuar tinguj – duke bashkuar zanoret: a, e, u...","<p>Kur dikush i drejtohet atij duke folur, duke kënduar, duke lexuar për të... dhe fëmija reagon.</p>",,6421,6421,,al-sq,review_after_translation
2736,Shpreh me zë të lartë pakënaqësinë ose gëzimin,<p>Ajo qan dhe proteston me zë të lartë për të shprehur <em>ndjenjat e pakëndshme dhe qesh me zë të lartë për të shprehur kënaqësi. </em></p>,,6411,6411,,al-sq,review_after_translation
2741,"Kupton kuptimin e fjalëve të tilla si ""e imja, e jotja, i/e asaj"", përdor parafjalë dhe përemra","<p>Shqipton fjalë si ""unë"", ""ti"", ""ne"" dhe njeh shumësin e disa fjalëve - si ""qentë"", ""macet"".</p>",,,,,al-sq,review_after_translation
2746,Fëmija është i ngazëllyer kur kupton që është koha për të luajtur,"<p>Ai gëzohet, duket i lumtur dhe kënaqet me lojën dhe kontaktet, veçanërisht me prindërit dhe personat e njohur.</p>",,6441,6441,,al-sq,review_after_translation
2751,Ndjek udhëzimet që përmbajnë dy ose tre kërkesa,<p>Mund të përgjigjet ndaj kërkesave të shumta të ndërlidhura verbale (“lëre kukullën dhe ulu në karrige” (“zhvishe xhaketën dhe vish këpucët”). </p>,,6836,6836,,al-sq,review_after_translation
2756,"Shfaq një gamë të gjerë të emocioneve, dhe njeh emocionet e të tjerëve","<p>Shfaq zemërim, frikë, faj, turp, dhe fillon të tregojë empati, kështu njeh se si ndihen të tjerët (për shembull, ai/ajo dëshiron ta ngushëllojë mikun e tij/saj që po qan me një përqafim).</p>",,6821,6821,,al-sq,review_after_translation
2761,Njeh anëtarët e familjes dhe i dallon ata nga personat e huaj. Fëmija mund të ketë frikë nga të huajt.,"<p>Njeh anëtarët e familjes dhe i dallon ata nga personat e huaj. Fëmija mund të ketë frikë nga të huajt. Ajo është e lumtur kur sheh persona të njohur, qesh me ta, si dhe u përgjigjet ndryshe njerëzve të njohur dhe atyre të panjohur.</p>",,,,,al-sq,review_after_translation
2766,Pëlqen të luajë në shoqërinë e fëmijëve,"<p>Loja nuk është më vetëm në mënyrë paralele – krahë për krahë, por ka elemente më komplekse, imagjinar dhe gjallëri.</p>",,6931,6931,,al-sq,review_after_translation
2771,Mërzitet kur prindi del nga dhoma dhe relaksohet kur prindi rikthehet.,<p>Mërzitet kur prindi del nga dhoma dhe relaksohet kur prindi rikthehet. Ai tregon shenja ankthi ose fillon të qajë kur prindi del nga dhoma. Ai është i lumtur kur prindi ose persona të afërt rikthehen në dhomë.</p>,,6506,6506,,al-sq,published
2776,Reagon kur dëgjon emrin e vet.,<p>Reagon kur dëgjon emrin e vet. Ajo fillon të njohë emrin e vetë kur dikush e thërret atë.</p>,,6446,6446,,al-sq,published
2781,E ndjen më të lehtë ndarjen nga prindërit,"<p>Reagimet ndaj ndarjes janë më pak intense, ajo qetësohet më shpejtë dhe mëson të mbështetet tek të rriturit e tjerë që gjenden afër kur prindërit largohen.</p>",,6796,6796,,al-sq,published
2786,"Fillon të kuptojë kuptimin e fjalës ""jo"".","<p>Fillon të kuptojë kuptimin e fjalës ""jo"". Kur ai dëgjon fjalën, ai ndalon aktivitetin dhe njeh mosaprovimin.</p>",,6476,6476,,al-sq,published
2791,"Dërdëllit, bën rrokje dhe prodhon shumë tinguj të ndryshëm","<p>Dërdëllit, bën rrokje dhe prodhon shumë tinguj të ndryshëm. Ajo përdor kombinime të shumëfishta të tingujve dhe çiftëzon bashkëtingëllore dhe zanore të ndryshme, përpiqet të përsërisë ose të imitojë tingujt që shqiptojnë të rriturit.</p>",,6451,6451,,al-sq,published
2796,Mund të ngjitet dhe të zbresë shkallëve,"<p>Mund të ngjitet dhe të zbresë shkallëve, me mbështetje është i/e gatshëm/gatshme të ngjitet shkallëve ose të zbresë nga to me pak ndihmë.</p>",,6626,6626,,al-sq,published
2801,Fillon të komunikojë me lëvizje.,"<p>Fillon të komunikojë me lëvizje. Komunikon në mënyrë jo-verbale, duke treguar me dorë objektet e dëshiruara ose duke tundur kokën për të thënë ""jo"".</p>",,6481,6481,,al-sq,published
2806,Ndjek objektin që bie dhe kërkon objektin e fshehur,"<p>Ndjek objektin që bie dhe kërkon objektin e fshehur. Nëse objekti është i fshehur nën një filxhan ose batanije, foshnja përpiqet ta zbulojë atë. Kur një objekt bie ose mamaja e hedh atë, foshnja e kërkon me sy objektin e hedhur.</p>",,6496,6496,,al-sq,review_after_translation
2811,"Mund të qëndrojë në këmbë të veta, të vrapojë, të kërcejë, dhe të godasë topin","<p>Mund të qëndrojë në këmbë të veta, të vrapojë, të kërcejë, të godasë topin dhe ta gjuajë më lart se koka e vet.</p>",,6646,6646,,al-sq,published
2816,Përdor njërën dorë më shumë se tjetrën,<p>Fillon të përdor njërën dorë më shumë – të majtën apo të djathtën.</p>,,6666,6666,,al-sq,review_after_translation
2821,Shkarravit në mënyrë të pavarur në letër,"<p>Është i aftë të mbajë një laps dhe të shkarravit, të vizatojë ose të kopjojë vija dhe rrathë.</p>",,6661,6661,,al-sq,published
2826,Ende vendos objekte në gojën e vet,<p>Ende vendos objekte në gojën e vet. Foshnja eksploron objekte duke i mbajtur në gojën e vet. </p>,,6456,6456,,al-sq,published
2831,Fillon të ndajë dhe çiftëzoj gjërat,"<p>Ajo mund të çiftëzoj gjërat, për shembull, një kafshë me një kafshë, një çorape me një çorape.</p>",,,,,al-sq,published
2836,"Lehtësisht transferon objektet nga njëra dorë në tjetrën, dhe i lëkund ato.","<p>Lehtësisht transferon objektet nga njëra dorë në tjetrën, dhe i lëkund ato. Ajo manipulon me objektet duke i lëvizur nga dora e majtë në dorën e djathtë, si dhe anasjelltas.<strong>           </strong></p>",,6501,6501,,al-sq,review_after_translation
2841,Kap objekte të vogla.,<p>Kap objekte të vogla. Ai kap objekte të vogla duke përdorur gishtin e madh dhe gishtin tregues. Ai ende përdor të gjithë sipërfaqen e gishtit jo vetëm majat e gishtave për të mbajtur objektin.</p>,,,,,al-sq,published
2846,Përdor lodrat me qëllim të caktuar për lojëra,"<p>Mund të luajë me lodra, e di se se për çfarë shërbejnë dhe si mund t'i përdorë ato në lojë.</p>",,6656,6656,,al-sq,published
2851,Mund të ngrihet në këmbë vetë dhe të ulet vetë pa mbështetje.,<p>Mund të ngrihet në këmbë vetë dhe të ulet vetë pa mbështetje. Ajo në mënyrë të pavarur merr pozitën ulur. Ajo ulet pa mbështetje dhe ndihmë shtesë.</p>,,6466,6466,,al-sq,published
2856,Tërheq veten dhe zvarritet. Disa fëmijë tashmë fillojnë të zvarriten.,<p>Tërheq veten dhe zvarritet. Disa fëmijë tashmë fillojnë të zvarriten. Ai mund të vihet vetë në një pozicion duke u zvarritur. Ai lëviz duke u zvarritur qoftë prapa apo para.</p>,,6486,6486,,al-sq,review_after_translation
2861,Luan lojëra të thjeshta “imagjinative” (sikur),"<p>Luan lojëra të thjeshta ""imagjinative”, për shembull – ushqen një kukull, apo bën sikur po ha një tortë.</p>",,"6631, 3651, 4786","6631, 3651, 4786",,al-sq,published
